-198,-536,-220,1
-249,-644,-241,1
-354,-940,-259,1
-413,-1251,-222,1
-449,-1205,-276,1
-314,-831,-259,1
-206,-614,-180,1
-231,-687,-172,1
-404,-1123,-288,1
-536,-1411,-360,1
-445,-1179,-273,1
-330,-905,-211,1
-350,-932,-258,1
-399,-1089,-306,1
-338,-1021,-250,1
-364,-1019,-245,1
-409,-1067,-265,1
-436,-1101,-284,1
-389,-1048,-263,1
-329,-987,-262,1
-275,-814,-238,1
-237,-693,-199,1
-247,-691,-179,1
-298,-808,-204,1
-358,-970,-264,1
-412,-1098,-322,1
-371,-1019,-290,1
-293,-851,-212,1
-262,-761,-181,1
-304,-840,-225,1
-399,-1066,-312,1
-437,-1176,-336,1
-355,-991,-260,1
-320,-887,-229,1
-325,-905,-235,1
-329,-945,-247,1
-346,-976,-275,1
-362,-978,-301,1
-369,-970,-294,1
-335,-925,-233,1
-310,-908,-217,1
-338,-970,-267,1
-371,-1022,-311,1
-372,-1018,-296,1
-385,-1049,-281,1
-371,-1023,-265,1
-320,-911,-243,1
-296,-856,-241,1
-317,-905,-268,1
-343,-958,-286,1
-351,-969,-277,1
-348,-955,-256,1
-321,-900,-240,1
-299,-854,-238,1
-295,-849,-250,1
-289,-838,-251,1
-284,-813,-240,1
-290,-813,-229,1
-305,-844,-230,1
-326,-909,-248,1
-336,-953,-262,1
-314,-904,-256,1
-291,-828,-238,1
-293,-820,-233,1
-301,-839,-227,1
-297,-843,-223,1
-306,-870,-239,1
-318,-898,-255,1
-310,-874,-244,1
-293,-827,-219,1
-291,-811,-215,1
-296,-815,-227,1
-298,-834,-232,1
-326,-921,-245,1
-386,-1084,-275,1
-380,-1053,-260,1
-333,-902,-238,1
-318,-848,-246,1
-325,-880,-250,1
-342,-996,-246,1
-390,-1132,-261,1
-420,-1135,-287,1
-381,-982,-274,1
-341,-888,-252,1
-345,-938,-252,1
-359,-1055,-262,1
-341,-1005,-244,1
-346,-936,-243,1
-369,-951,-267,1
-370,-964,-266,1
-348,-953,-254,1
-310,-899,-243,1
-278,-817,-228,1
-264,-755,-202,1
-297,-812,-211,1
-362,-960,-261,1
-405,-1073,-310,1
-351,-967,-276,1
-285,-818,-219,1
-260,-756,-194,1
-287,-808,-216,1
-330,-908,-254,1
-368,-983,-289,1
-346,-928,-274,1
-307,-838,-240,1
-287,-814,-217,1
-285,-844,-219,1
-319,-915,-253,1
-351,-955,-283,1
-362,-961,-289,1
-375,-993,-284,1
-371,-1036,-271,1
-340,-992,-256,1
-328,-940,-260,1
-361,-980,-291,1
-400,-1065,-310,1
-401,-1083,-296,1
-379,-1051,-283,1
-370,-1038,-282,1
-346,-989,-267,1
-343,-967,-269,1
-365,-989,-290,1
-355,-960,-285,1
-305,-857,-242,1
-280,-812,-221,1
-294,-849,-242,1
-298,-862,-249,1
-298,-857,-247,1
-316,-883,-255,1
-318,-876,-256,1
-294,-824,-238,1
-273,-797,-218,1
-278,-821,-223,1
-292,-844,-235,1
-309,-868,-248,1
-324,-895,-256,1
-327,-905,-251,1
-306,-871,-231,1
-288,-842,-223,1
-310,-888,-243,1
-351,-983,-263,1
-371,-1023,-264,1
-369,-1001,-261,1
-375,-1004,-281,1
-380,-1032,-279,1
-361,-1043,-248,1
-378,-1076,-256,1
-399,-1073,-290,1
-387,-1010,-283,1
-385,-1028,-274,1
-386,-1084,-270,1
-353,-1018,-248,1
-348,-962,-250,1
-374,-1001,-273,1
-391,-1043,-277,1
-363,-985,-260,1
-322,-893,-246,1
-289,-825,-227,1
